decade,date,year,city,index_hwmid,index_tn10p,index_tn90p,index_tx10p,index_tx90p,tmstmp
1971-1980,1971-01-01,1971,Athens,0.136067181453109,14.9041094303131,5.56164388656616,13.6301368713379,5.5342465877533,31536e6
1971-1980,1971-01-01,1971,Berlin,1.09677227139473,16.7671233177185,7.56164391040802,14.7123285293579,7.9178081035614,31536e6
1971-1980,1971-01-01,1971,Brussels,0.199366199970245,15.7534245491028,8.30136966705322,15.3424655914307,7.89041090011597,31536e6
1971-1980,1971-01-01,1971,Budapest,0.904214461147785,16.3698629379272,5.63013699054718,13.9452055454254,6.97260267734528,31536e6
1971-1980,1971-01-01,1971,Lisbon,0.976542066037655,15.863013792038,7.84931511878967,14.0000001430511,8.53424661159515,31536e6
1971-1980,1971-01-01,1971,London,0.161444506049156,14.0547945976257,7.82191789150238,15.1780823707581,7.68493146896362,31536e6
1971-1980,1971-01-01,1971,Madrid,1.26582837253809,15.1780822277069,7.15068483352661,14.5068491458893,6.79452052116394,31536e6
1971-1980,1971-01-01,1971,Paris,0.232891460508108,15.5342463493347,7.64383566379547,15.9726027965546,7.63013694286346,31536e6
1971-1980,1971-01-01,1971,Roma,2.5422623552382,16.0821917057037,5.43835620880127,14.1917806148529,6.2054794549942,31536e6
1971-1980,1971-01-01,1971,Warsaw,0.161444506049156,14.0547945976257,7.82191789150238,15.1780823707581,7.68493146896362,31536e6
1981-1990,1981-01-01,1981,Athens,1.17158605009317,12.2191782951355,6.15068492889404,11.6164383411407,5.82191779613495,3471552e5
1981-1990,1981-01-01,1981,Berlin,0.538250554725528,10.3287671089172,7.9452054977417,10.5205479621887,7.91780824661255,3471552e5
1981-1990,1981-01-01,1981,Brussels,0.986467736959457,10.9863013744354,6.90410959720612,11.2054794311523,7.94520554542541,3471552e5
1981-1990,1981-01-01,1981,Budapest,0.524275492876768,12.1369863033295,7.26027405261993,11.424657535553,7.3424656867981,3471552e5
1981-1990,1981-01-01,1981,Lisbon,1.36004590801895,12.5342465400696,7.08219180107117,11.7945204973221,7.93150672912598,3471552e5
1981-1990,1981-01-01,1981,London,0.584410554170608,10.5616438388824,7.8356164932251,11.1643835067749,7.98630135059357,3471552e5
1981-1990,1981-01-01,1981,Madrid,1.75624758303165,10.9041095256805,7.05479443073273,9.8904109954834,7.80821924209595,3471552e5
1981-1990,1981-01-01,1981,Paris,0.761615405976772,11.1780821800232,7.15068497657776,11.0273973464966,7.479452085495,3471552e5
1981-1990,1981-01-01,1981,Roma,1.80049887988716,11.2465753078461,7.38356158733368,10.3561643123627,6.79452058076859,3471552e5
1981-1990,1981-01-01,1981,Warsaw,0.584410554170608,10.5616438388824,7.8356164932251,11.1643835067749,7.98630135059357,3471552e5
1991-2000,1991-01-01,1991,Athens,0.784300835058093,9.50684928894043,10.5753424167633,9.79452056884766,10.7945204734802,662688e6
1991-2000,1991-01-01,1991,Berlin,0.306978102400899,9.89041094779968,9.50684928894043,9.31506853103638,10.5205478668213,662688e6
1991-2000,1991-01-01,1991,Brussels,0.68212189078331,9.67123284339905,10.1095889568329,9.78082175254822,10.8219178199768,662688e6
1991-2000,1991-01-01,1991,Budapest,1.66556355059147,9.15068483352661,10.2191780567169,8.64383568763733,10.7123287677765,662688e6
1991-2000,1991-01-01,1991,Lisbon,1.52288571894169,9.76712329387665,9.78082203865051,9.87671248912811,8.65753421783447,662688e6
1991-2000,1991-01-01,1991,London,1.16622793152928,9.89041106700897,9.72602734565735,9.63013696670532,10.3013698101044,662688e6
1991-2000,1991-01-01,1991,Madrid,1.75425882218406,10.8767123937607,9.78082191944122,11.2465752124786,8.23287663459778,662688e6
1991-2000,1991-01-01,1991,Paris,1.09367890059948,9.86301379203796,9.83561639785767,9.61643817424774,10.7123286724091,662688e6
1991-2000,1991-01-01,1991,Roma,6.64615755686536,9.58904092311859,10.1506849050522,9.67123284339905,10.5205478549004,662688e6
1991-2000,1991-01-01,1991,Warsaw,1.16622793152928,9.89041106700897,9.72602734565735,9.63013696670532,10.3013698101044,662688e6
2001-2010,2001-01-01,2001,Athens,1.17875750362873,7.60273959636688,11.6301370620728,7.91780827045441,11.9452054977417,9783072e5
2001-2010,2001-01-01,2001,Berlin,1.99677914977074,9.56164381504059,12.3561643600464,9.5616436958313,11.5342467308044,9783072e5
2001-2010,2001-01-01,2001,Brussels,3.87461444071087,8.90410959124565,12.6301368713379,8.7945205450058,11.2876709699631,9783072e5
2001-2010,2001-01-01,2001,Budapest,1.37459126543254,8.39726020097732,12.2876711130142,9.64383557736874,11.4246574878693,9783072e5
2001-2010,2001-01-01,2001,Lisbon,0.806825041770935,7.21917808055878,12.3698628425598,7.86301369667053,12.9452052593231,9783072e5
2001-2010,2001-01-01,2001,London,2.7381900396198,9.24657542705536,12.2876713752747,8.82191777229309,11.7123286664486,9783072e5
2001-2010,2001-01-01,2001,Madrid,1.92605412006378,7.94520535469055,12.9452054023743,8.38356170654297,13.8082191467285,9783072e5
2001-2010,2001-01-01,2001,Paris,2.09168744459748,8.54794514775276,12.7808218955994,8.93150693178177,11.6164383172989,9783072e5
2001-2010,2001-01-01,2001,Roma,2.75780625939369,8.90410959720612,11.8904109477997,9.39726030826569,11.8904109239578,9783072e5
2001-2010,2001-01-01,2001,Warsaw,2.7381900396198,9.24657542705536,12.2876713752747,8.82191777229309,11.7123286664486,9783072e5
2011-2020,2011-01-01,2011,Athens,1.92439411142841,5.64383561015129,16.5753424167633,6.47945199012756,14.0273972511292,129384e7
2011-2020,2011-01-01,2011,Berlin,1.47001028954983,6.60273967981338,14.0547945976257,7.06849324703217,12.3013700962067,129384e7
2011-2020,2011-01-01,2011,Brussels,1.7275808500126,5.91780819892883,13.5342467784882,6.32876704931259,12.1917808532715,129384e7
2011-2020,2011-01-01,2011,Budapest,2.80267166793346,6.06849318146706,15.397260093689,6.91780828237534,16.0273970603943,129384e7
2011-2020,2011-01-01,2011,Lisbon,1.99017738178372,5.58904104232788,16.6712327480316,5.13698630332947,15.7945208072662,129384e7
2011-2020,2011-01-01,2011,London,0.701220289617777,5.6027398109436,12.424657535553,5.80821917057037,11.9999999046326,129384e7
2011-2020,2011-01-01,2011,Madrid,2.90931086726487,5.71232869625092,18.2602740287781,5.63013694286346,15.7945205211639,129384e7
2011-2020,2011-01-01,2011,Paris,1.61386283496395,6.61643831729889,13.4657534122467,6.6164383649826,12.5479451179504,129384e7
2011-2020,2011-01-01,2011,Roma,5.48860760629177,6.23287675380707,14.5616438388824,6.63013687133789,14.9315068721771,129384e7
2011-2020,2011-01-01,2011,Warsaw,0.701220289617777,5.6027398109436,12.424657535553,5.80821917057037,11.9999999046326,129384e7
2021-2030,2021-01-01,2021,Athens,2.40994010567665,4.246575319767,22.2054795265198,5.83561642169952,17.2054793357849,16094592e5
2021-2030,2021-01-01,2021,Berlin,2.88505981937051,5.28767123222351,17.6164383888245,5.86301369667053,14.9041095733643,16094592e5
2021-2030,2021-01-01,2021,Brussels,3.22336145341396,5.47945210933685,16.8219176292419,5.42465753555298,15.0684930801392,16094592e5
2021-2030,2021-01-01,2021,Budapest,5.29233206957579,5.1643835067749,20.8493148803711,6.21917810440064,17.178082036972,16094592e5
2021-2030,2021-01-01,2021,Lisbon,2.22265222389251,4.63013700246811,16.5479454040527,4.80821920633316,14.2602739334106,16094592e5
