decade,date,year,city,index,value,tmstmp
1971-1980,1971-01-01,1971,Athens,hwmid,0.136067181453109,31536e6
1971-1980,1971-01-01,1971,Berlin,hwmid,1.09677227139473,31536e6
1971-1980,1971-01-01,1971,Brussels,hwmid,0.199366199970245,31536e6
1971-1980,1971-01-01,1971,Budapest,hwmid,0.904214461147785,31536e6
1971-1980,1971-01-01,1971,Lisbon,hwmid,0.976542066037655,31536e6
1971-1980,1971-01-01,1971,London,hwmid,0.161444506049156,31536e6
1971-1980,1971-01-01,1971,Madrid,hwmid,1.26582837253809,31536e6
1971-1980,1971-01-01,1971,Paris,hwmid,0.232891460508108,31536e6
1971-1980,1971-01-01,1971,Roma,hwmid,2.5422623552382,31536e6
1971-1980,1971-01-01,1971,Warsaw,hwmid,0.161444506049156,31536e6
1981-1990,1981-01-01,1981,Athens,hwmid,1.17158605009317,3471552e5
1981-1990,1981-01-01,1981,Berlin,hwmid,0.538250554725528,3471552e5
1981-1990,1981-01-01,1981,Brussels,hwmid,0.986467736959457,3471552e5
1981-1990,1981-01-01,1981,Budapest,hwmid,0.524275492876768,3471552e5
1981-1990,1981-01-01,1981,Lisbon,hwmid,1.36004590801895,3471552e5
1981-1990,1981-01-01,1981,London,hwmid,0.584410554170608,3471552e5
1981-1990,1981-01-01,1981,Madrid,hwmid,1.75624758303165,3471552e5
1981-1990,1981-01-01,1981,Paris,hwmid,0.761615405976772,3471552e5
1981-1990,1981-01-01,1981,Roma,hwmid,1.80049887988716,3471552e5
1981-1990,1981-01-01,1981,Warsaw,hwmid,0.584410554170608,3471552e5
1991-2000,1991-01-01,1991,Athens,hwmid,0.784300835058093,662688e6
1991-2000,1991-01-01,1991,Berlin,hwmid,0.306978102400899,662688e6
1991-2000,1991-01-01,1991,Brussels,hwmid,0.68212189078331,662688e6
1991-2000,1991-01-01,1991,Budapest,hwmid,1.66556355059147,662688e6
1991-2000,1991-01-01,1991,Lisbon,hwmid,1.52288571894169,662688e6
1991-2000,1991-01-01,1991,London,hwmid,1.16622793152928,662688e6
1991-2000,1991-01-01,1991,Madrid,hwmid,1.75425882218406,662688e6
1991-2000,1991-01-01,1991,Paris,hwmid,1.09367890059948,662688e6
1991-2000,1991-01-01,1991,Roma,hwmid,6.64615755686536,662688e6
1991-2000,1991-01-01,1991,Warsaw,hwmid,1.16622793152928,662688e6
2001-2010,2001-01-01,2001,Athens,hwmid,1.17875750362873,9783072e5
2001-2010,2001-01-01,2001,Berlin,hwmid,1.99677914977074,9783072e5
2001-2010,2001-01-01,2001,Brussels,hwmid,3.87461444071087,9783072e5
2001-2010,2001-01-01,2001,Budapest,hwmid,1.37459126543254,9783072e5
2001-2010,2001-01-01,2001,Lisbon,hwmid,0.806825041770935,9783072e5
2001-2010,2001-01-01,2001,London,hwmid,2.7381900396198,9783072e5
2001-2010,2001-01-01,2001,Madrid,hwmid,1.92605412006378,9783072e5
2001-2010,2001-01-01,2001,Paris,hwmid,2.09168744459748,9783072e5
2001-2010,2001-01-01,2001,Roma,hwmid,2.75780625939369,9783072e5
2001-2010,2001-01-01,2001,Warsaw,hwmid,2.7381900396198,9783072e5
2011-2020,2011-01-01,2011,Athens,hwmid,1.92439411142841,129384e7
2011-2020,2011-01-01,2011,Berlin,hwmid,1.47001028954983,129384e7
2011-2020,2011-01-01,2011,Brussels,hwmid,1.7275808500126,129384e7
2011-2020,2011-01-01,2011,Budapest,hwmid,2.80267166793346,129384e7
2011-2020,2011-01-01,2011,Lisbon,hwmid,1.99017738178372,129384e7
2011-2020,2011-01-01,2011,London,hwmid,0.701220289617777,129384e7
2011-2020,2011-01-01,2011,Madrid,hwmid,2.90931086726487,129384e7
2011-2020,2011-01-01,2011,Paris,hwmid,1.61386283496395,129384e7
2011-2020,2011-01-01,2011,Roma,hwmid,5.48860760629177,129384e7
2011-2020,2011-01-01,2011,Warsaw,hwmid,0.701220289617777,129384e7
2021-2030,2021-01-01,2021,Athens,hwmid,2.40994010567665,16094592e5
2021-2030,2021-01-01,2021,Berlin,hwmid,2.88505981937051,16094592e5
2021-2030,2021-01-01,2021,Brussels,hwmid,3.22336145341396,16094592e5
2021-2030,2021-01-01,2021,Budapest,hwmid,5.29233206957579,16094592e5
2021-2030,2021-01-01,2021,Lisbon,hwmid,2.22265222389251,16094592e5
2021-2030,2021-01-01,2021,London,hwmid,3.41697129756212,16094592e5
2021-2030,2021-01-01,2021,Madrid,hwmid,7.60543508566916,16094592e5
2021-2030,2021-01-01,2021,Paris,hwmid,3.46116143614054,16094592e5
2021-2030,2021-01-01,2021,Roma,hwmid,9.06181690692902,16094592e5
2021-2030,2021-01-01,2021,Warsaw,hwmid,3.41697129756212,16094592e5
2031-2040,2031-01-01,2031,Athens,hwmid,3.24626858010888,1924992e6
2031-2040,2031-01-01,2031,Berlin,hwmid,0.906670925579965,1924992e6
2031-2040,2031-01-01,2031,Brussels,hwmid,2.46067265868187,1924992e6
2031-2040,2031-01-01,2031,Budapest,hwmid,2.64255786743015,1924992e6
